odor,reward,mbon_output,veto_value,gating_factor,rpe,dopamine,weight_change_magnitude,replicate,seed
DL3,1.0,0.00167095692627918,0.0,1.0,0.9468188046941501,0.9468188046941501,0.0002799206606143158,3,242
DA1,1.0,0.49408982503736676,0.0,1.0,0.9516428343996979,0.9516428343996979,0.1954161141134454,3,242
DL3,1.0,0.002290582563310478,0.0,1.0,0.9564762603771648,0.9564762603771648,0.00035504541050066673,3,242
DA1,1.0,0.6687482550786925,0.0,1.0,0.9601598860843696,0.9601598860843696,0.26686208325794264,3,242
DL3,1.0,0.0031378938374914465,0.0,1.0,0.9641407595820952,0.9641407595820952,0.00046061450198188556,3,242
DA1,1.0,0.9072633954249067,0.0,1.0,0.9668194202284608,0.9668194202284608,0.36455204498981303,3,242
DL3,1.0,0.004296603465620748,0.0,1.0,0.9701331816021491,0.9701331816021491,0.0006077995374512166,3,242
DA1,1.0,1.2330915008417678,0.0,1.0,0.9718867719410925,0.9718867719410925,0.4980716941172161,3,242
DL3,1.0,0.005881011791549413,0.0,1.0,0.9746922137351917,0.9746922137351917,0.0008115706054740056,3,242
DA1,1.0,1.6782562914441181,0.0,1.0,0.9755447360702285,0.9755447360702285,0.6804346745693809,3,242
DL3,1.0,0.008046954672065803,0.0,1.0,0.9779822155085336,0.9779822155085336,0.001092114423017897,3,242
DA1,1.0,2.2864127716744953,0.0,1.0,0.9778975811860058,0.9778975811860058,0.929242429453781,3,242
DL3,1.0,0.011006463495917546,0.0,1.0,0.9800968166039092,0.9800968166039092,0.001476664585370195,3,242
DA1,1.0,3.1169476953991238,0.0,1.0,0.9789701872481192,0.9789701872481192,1.2681775136164215,3,242
DL3,1.0,0.015047212006676221,0.0,1.0,0.9810581213113007,0.9810581213113007,0.0020018144705580914,3,242
DA1,1.0,4.250414717767254,0.0,1.0,0.9787018944624034,0.9787018944624034,1.7288719869293,3,242
DL3,1.0,0.02055796667681942,0.0,1.0,0.9808111470494862,0.9808111470494862,0.0027163618530222484,3,242
DA1,1.0,5.7956394717004835,0.0,1.0,0.9769343928728371,0.9769343928728371,2.353140662635111,3,242
DL3,1.0,0.028061241627465327,0.0,1.0,0.979212892343926,0.979212892343926,0.003684643702965829,3,242
DA1,1.0,7.898820667146882,0.0,1.0,0.9733927824423865,0.9733927824423865,3.195446297407772,3,242
DL3,1.0,0.03825396511820931,0.0,1.0,0.9760152502330297,0.9760152502330297,0.004990107448216332,3,242
DA1,1.0,10.754834516001864,0.0,1.0,0.9676588906937249,0.9676588906937249,4.325209878783316,3,242
DL3,1.0,0.05205578275910935,0.0,1.0,0.9708409458415934,0.9708409458415934,0.006738438417319718,3,242
DA1,1.0,14.620604032618832,0.0,1.0,0.9591362472248153,0.9591362472248153,5.828097296809224,3,242
DL3,1.0,0.07066193883924725,0.0,1.0,0.9631519605634945,0.9631519605634945,0.009058776782380566,3,242
